Iteration,Discriminator Loss,Generator Loss
0,74.542892,0.700867
10,0.658669,0.803262
20,0.350761,1.315501
30,0.139195,2.475975
40,0.285942,2.455471
50,0.377404,2.499390
60,0.479106,1.770480
70,0.615329,1.903290
80,0.842036,1.689135
90,0.971516,1.539873
100,0.981987,0.815504
110,1.211548,3.372843
120,1.181761,1.452413
130,1.428514,0.381888
140,3.262173,0.000064
150,1.417613,1.006226
160,5.686145,1.944775
170,1.864409,2.359852
180,4.175960,0.000290
190,3.037418,5.621526
200,1.603469,0.297495
210,1.722104,3.293621
220,1.979261,0.049355
230,1.633173,0.217042
240,3.065687,0.001900
250,1.961735,0.003830
260,2.387191,0.003966
270,2.904350,0.002669
280,5.969920,0.088312
290,6.560437,0.291570
300,4.085920,0.015525
310,6.247887,0.903992
320,1.825453,4.774618
330,2.091208,3.636125
340,2.123551,2.183897
350,1.826465,1.473492
360,1.586002,1.025993
370,1.364554,0.829486
380,1.318166,0.780835
390,1.315199,0.737729
400,1.333928,0.677531
410,1.348555,0.657133
420,1.361413,0.662544
430,1.392030,0.717660
440,1.393789,0.789674
450,1.382621,0.786733
460,1.383659,0.741728
470,1.384066,0.704995
480,1.384519,0.696755
490,1.383927,0.740107
500,1.380560,0.707874
510,1.381545,0.702038
520,1.381003,0.670858
530,1.383377,0.699153
540,1.373623,0.651714
550,1.382887,0.701332
560,1.358451,0.731954
570,1.377114,0.682809
580,1.385746,0.706253
590,1.381923,0.656402
600,1.384388,0.712151
610,1.381369,0.714786
620,1.384871,0.707182
630,1.358058,0.669808
640,1.364010,0.674560
650,1.381702,0.716494
660,1.374457,0.633570
670,1.362796,0.610560
680,1.389670,0.664600
690,1.385875,0.695069
700,1.359981,0.738963
710,1.380422,0.720655
720,1.381613,0.722959
730,1.385223,0.660157
740,1.378765,0.714432
750,1.380876,0.615575
760,1.372254,0.657136
770,1.373638,0.724284
780,1.369247,0.629961
790,1.369623,0.671203
800,1.375514,0.588142
810,1.357759,0.687125
820,1.374475,0.637950
830,1.372072,0.635967
840,1.371742,0.650671
850,1.376645,0.623191
860,1.355952,0.820618
870,1.385784,0.813776
880,1.361302,0.594386
890,1.371167,0.578870
900,1.367731,0.645324
910,1.349124,0.652859
920,1.369061,0.662575
930,1.371422,0.637068
940,1.360494,0.667601
950,1.333840,0.636150
960,1.246655,0.691343
970,1.254765,0.668331
980,1.286557,0.605263
990,1.276248,0.671064
1000,1.258911,0.999119
1010,1.217858,0.900093
1020,1.199559,0.822406
1030,1.170603,0.883159
1040,1.189264,0.918762
1050,1.155729,0.985507
1060,1.135751,1.009513
1070,1.202330,1.062411
1080,1.128906,1.139667
1090,1.167323,1.098466
1100,1.156840,1.243155
1110,1.070066,1.260920
1120,0.983287,1.278635
1130,1.011201,0.870339
1140,1.022952,0.872941
1150,1.028182,0.821034
1160,1.028785,0.843511
1170,1.085248,0.820354
1180,1.065154,0.866295
1190,1.072689,0.848334
1200,1.088235,0.825796
1210,1.054890,0.843335
1220,0.988046,0.875616
1230,0.997036,0.875598
1240,1.016800,0.803411
1250,1.031143,0.804886
1260,0.986240,0.838242
1270,0.957918,0.856167
1280,1.002042,0.836022
1290,1.018139,0.837424
1300,1.027756,0.837757
1310,0.995812,0.862368
1320,0.982432,0.880287
1330,1.054955,0.847211
1340,1.096920,0.835286
1350,1.063605,0.887597
1360,1.071072,0.844905
1370,1.189070,0.761475
1380,1.260722,0.743380
1390,1.242111,0.761892
1400,1.153768,0.845932
1410,1.259726,0.748168
1420,1.220640,0.768477
1430,1.292062,0.686014
1440,1.172417,0.660286
1450,1.195810,0.639810
1460,1.174952,0.795570
1470,1.151071,0.726039
1480,1.122851,1.087909
1490,1.213250,0.613876
1500,1.193127,0.708288
1510,1.186982,0.773477
1520,1.158012,0.626181
1530,1.163646,0.892619
1540,1.211934,0.608197
1550,1.185778,0.714592
1560,1.143985,0.855659
1570,1.212993,0.760868
1580,1.178034,0.866485
1590,1.130283,0.802480
1600,1.182891,0.717682
1610,1.225443,0.956516
1620,1.120852,0.761507
1630,1.210216,0.795857
1640,1.101857,0.952143
1650,1.191324,0.639519
1660,1.139748,0.672428
1670,1.210896,0.776971
1680,1.151232,0.608206
1690,1.195022,0.622065
1700,1.105514,0.825184
1710,1.119732,0.746936
1720,1.178550,0.847408
1730,1.147242,0.888646
1740,1.103758,0.878609
1750,1.120923,0.867613
1760,1.139451,0.786102
1770,1.135075,0.646533
1780,1.160743,0.685188
1790,1.179896,0.592239
1800,1.275619,0.669018
1810,1.156653,0.926233
1820,1.203959,0.884127
1830,1.218658,0.734570
1840,1.214520,0.667826
1850,1.220591,0.741989
1860,1.176344,0.658249
1870,1.192586,1.100907
1880,1.225284,1.057174
1890,1.188138,0.830842
1900,1.268114,0.805359
1910,1.207875,0.825072
1920,1.167393,0.886157
1930,1.236109,0.911457
1940,1.099876,0.770545
1950,1.192753,0.741343
1960,1.263170,0.614670
1970,1.224278,0.876277
1980,1.179740,0.676378
1990,1.140951,0.883417
2000,1.215281,0.826246
2010,1.203597,0.924860
2020,1.248202,0.708430
2030,1.236784,0.729439
2040,1.294045,0.602062
2050,1.183405,0.858607
2060,1.240323,1.058789
2070,1.260066,0.886585
2080,1.241404,0.630597
2090,1.253873,0.768812
2100,1.307009,1.044386
2110,1.231479,0.724773
2120,1.171433,0.902241
2130,1.242045,0.690091
2140,1.276792,0.733937
2150,1.282730,0.671455
2160,1.195074,0.997053
2170,1.252406,0.741558
2180,1.375314,0.912773
2190,1.215311,0.735175
2200,1.248188,0.836541
2210,1.188228,0.698546
2220,1.137600,0.904245
2230,1.198597,0.779344
2240,1.225739,0.663418
2250,1.136718,0.845645
2260,1.204934,0.663510
2270,1.306760,0.916363
2280,1.274977,0.803770
2290,1.274583,0.785985
2300,1.297216,0.622167
2310,1.390522,1.113066
2320,1.199383,0.868907
2330,1.254693,0.830529
2340,1.249173,0.859619
2350,1.216894,0.783737
2360,1.182862,0.675348
2370,1.229723,0.704256
2380,1.253619,0.791696
2390,1.160736,0.727142
2400,1.116935,0.738917
2410,1.156466,0.656997
2420,1.246253,0.844774
2430,1.125884,0.786227
2440,1.203204,0.710515
2450,1.241453,0.767248
2460,1.158916,0.759774
2470,1.200439,0.696779
2480,1.219862,0.641515
2490,1.252803,0.769462
2500,1.192406,0.859672
2510,1.192808,0.824619
2520,1.334616,0.881957
2530,1.241406,0.853769
2540,1.185984,0.687749
2550,1.250165,0.627223
2560,1.354620,0.851133
2570,1.155573,0.781063
2580,1.210373,1.093484
2590,1.191747,0.792801
2600,1.233090,0.869452
2610,1.227593,0.869452
2620,1.156819,0.771863
2630,1.294365,0.649828
2640,1.237483,0.740224
2650,1.254194,0.595497
2660,1.233613,0.718854
2670,1.260839,0.851418
2680,1.124823,0.674915
2690,1.277920,0.756863
2700,1.177271,0.614716
2710,1.099829,0.746507
2720,1.141945,0.652394
2730,1.174914,0.875905
2740,1.236999,0.802743
2750,1.126573,0.653893
2760,1.155890,0.764250
2770,1.146271,0.700378
2780,1.246370,0.764159
2790,1.192331,0.659463
2800,1.211648,0.946900
2810,1.299551,0.850137
2820,1.189263,0.684933
2830,1.277262,0.684639
2840,1.346796,0.635525
2850,1.183481,0.794749
2860,1.306006,0.833500
2870,1.220501,0.663501
2880,1.232132,0.976776
2890,1.351537,0.620072
2900,1.211512,0.662742
2910,1.235185,0.616501
2920,1.276338,0.627320
2930,1.275232,0.689455
2940,1.281120,0.715041
2950,1.222389,0.705295
2960,1.150252,0.578176
2970,1.184577,0.878580
2980,1.145332,0.597074
2990,1.199178,0.576058
3000,1.223212,0.686235
3010,1.213425,0.707956
3020,1.153537,0.737016
3030,1.352648,0.620690
3040,1.175957,0.874363
3050,1.218044,0.732813
3060,1.282731,0.713201
3070,1.215562,0.766966
3080,1.198320,0.718052
3090,1.195182,0.808182
3100,1.349638,1.004348
3110,1.269014,0.753283
3120,1.281929,0.562787
3130,1.206130,0.715739
3140,1.325978,0.896878
3150,1.235085,0.785321
3160,1.255448,0.687478
3170,1.275450,0.761692
3180,1.221280,0.751028
3190,1.108674,0.730107
3200,1.228276,0.959968
3210,1.224368,0.634495
3220,1.261429,0.882903
3230,1.302057,0.681474
3240,1.163878,0.716989
3250,1.239521,0.644006
3260,1.239122,0.704780
3270,1.252483,0.825847
3280,1.339088,0.587834
3290,1.258334,0.671164
3300,1.295029,0.636441
3310,1.195116,0.686688
3320,1.192102,0.868770
3330,1.137130,0.564563
3340,1.219091,0.736529
3350,1.200855,0.630743
3360,1.181479,0.672829
3370,1.177300,0.559685
3380,1.197792,0.827875
3390,1.194894,0.605537
3400,1.190872,0.671797
3410,1.314427,0.649461
3420,1.260758,0.915949
3430,1.354880,0.809474
3440,1.143195,0.841251
3450,1.218684,0.850543
3460,1.192927,0.603022
3470,1.180812,0.811094
3480,1.187060,0.927012
3490,1.203840,0.668496
3500,1.220145,0.801525
3510,1.280866,0.681206
3520,1.199124,0.649869
3530,1.266245,0.573608
3540,1.211296,0.637528
3550,1.265953,0.729507
3560,1.344411,0.670528
3570,1.177629,0.542806
3580,1.206854,0.524280
3590,1.260494,0.831810
3600,1.231887,0.667278
3610,1.104038,0.568473
3620,1.229022,0.581395
3630,1.107864,0.558622
3640,1.396091,0.573508
3650,1.196546,0.565278
3660,1.096605,0.669965
3670,1.321321,0.853550
3680,1.213511,0.553793
3690,1.337010,0.826419
3700,1.424046,0.612319
3710,1.242865,0.702886
3720,1.157472,0.607480
3730,1.301712,0.636511
3740,1.125410,0.588551
3750,1.257518,0.843408
3760,1.209849,0.589052
3770,1.324636,0.758631
3780,1.229871,0.622520
3790,1.287539,0.763337
3800,1.260205,0.679418
3810,1.334892,0.769938
3820,1.205989,0.876090
3830,1.235183,0.584689
3840,1.235288,0.688617
3850,1.227216,0.854638
3860,1.186527,0.680694
3870,1.213722,0.788217
3880,1.188987,0.868248
3890,1.105274,0.682627
3900,1.183240,0.716118
3910,1.242491,0.700480
3920,1.200711,0.862489
3930,1.291087,0.784203
3940,1.253840,0.883078
3950,1.296956,0.643408
3960,1.253456,0.783210
3970,1.238649,0.493400
3980,1.307842,0.458705
3990,1.349787,0.861527
4000,1.254385,0.675098
4010,1.290664,0.701570
4020,1.135667,0.613974
4030,1.195773,0.825026
4040,1.258747,0.471051
4050,1.182998,0.569763
4060,1.274299,0.786220
4070,1.293367,0.610223
4080,1.224350,0.736205
4090,1.182854,0.644615
4100,1.282110,0.765267
4110,1.297158,0.687426
4120,1.212073,0.792337
4130,1.284314,0.478151
4140,1.205724,0.775367
4150,1.222722,0.776302
4160,1.172480,0.654933
4170,1.228287,0.761641
4180,1.245151,0.690635
4190,1.249232,0.746819
4200,1.197445,0.623187
4210,1.330377,0.604145
4220,1.203694,0.575258
4230,1.250621,0.633467
4240,1.257144,0.726825
4250,1.395419,0.766781
4260,1.154740,0.542175
4270,1.280892,0.936116
4280,1.173925,0.560149
4290,1.344704,0.724294
4300,1.126967,0.574438
4310,1.242696,0.820380
4320,1.199548,0.605374
4330,1.262059,0.800868
4340,1.226952,0.818808
4350,1.194431,0.574933
4360,1.189007,0.535847
4370,1.180426,0.583341
4380,1.201609,0.678317
4390,1.204402,0.572578
4400,1.174905,0.667080
4410,1.263212,0.685327
4420,1.233285,0.700099
4430,1.154225,0.483681
4440,1.132484,0.566175
4450,1.116844,0.566597
4460,1.221899,0.818857
4470,1.224938,0.673239
4480,1.205464,0.517711
4490,1.253865,0.777138
4500,1.252583,0.585258
4510,1.165991,0.635900
4520,1.352192,0.788198
4530,1.210704,0.752970
4540,1.189432,0.722974
4550,1.231206,0.484441
4560,1.198057,0.664730
4570,1.223755,0.687846
4580,1.230552,0.767258
4590,1.255815,0.716323
4600,1.369354,0.709357
4610,1.111150,0.526899
4620,1.303078,0.572081
4630,1.302320,0.554607
4640,1.273797,0.709608
4650,1.188099,0.517190
4660,1.193018,0.697653
4670,1.151571,0.594861
4680,1.176153,0.618258
4690,1.110000,0.584576
4700,1.343615,0.582252
4710,1.240954,0.801658
4720,1.175020,0.567515
4730,1.226626,0.781388
4740,1.273467,0.732842
4750,1.156282,0.739538
4760,1.210407,0.685155
4770,1.226841,0.516529
4780,1.193287,0.742879
4790,1.152743,0.724739
4800,1.310292,0.682105
4810,1.208770,0.717610
4820,1.176420,0.613116
4830,1.241379,0.618653
4840,1.204890,0.709809
4850,1.285152,0.615652
4860,1.196551,0.613111
4870,1.355542,0.528638
4880,1.266462,0.784643
4890,1.220534,0.528629
4900,1.191580,0.496119
4910,1.243225,0.746602
4920,1.209961,0.610576
4930,1.378513,0.816604
4940,1.280055,0.709390
4950,1.214891,0.496962
4960,1.248553,0.697698
4970,1.282386,0.615259
4980,1.244632,0.509361
4990,1.265500,0.712190
5000,1.326646,0.820125
5010,1.227366,0.543315
5020,1.378895,0.809066
5030,1.179666,0.659696
5040,1.272512,0.496828
5050,1.288256,0.565821
5060,1.270034,0.733802
5070,1.276566,0.739888
5080,1.169841,0.562589
5090,1.265827,0.604471
5100,1.256149,0.770983
5110,1.138914,0.494416
5120,1.159084,0.615506
5130,1.184544,0.730624
5140,1.233136,0.549268
5150,1.343174,0.768105
5160,1.332278,0.647545
5170,1.172522,0.709879
5180,1.197955,0.576310
5190,1.250037,0.501559
5200,1.118413,0.571111
5210,1.337365,0.734504
5220,1.220855,0.856454
5230,1.152013,0.606231
5240,1.225829,0.601208
5250,1.253444,0.632986
5260,1.268810,0.733600
5270,1.264978,0.662592
5280,1.263062,0.756931
5290,1.464614,0.592981
5300,1.317932,0.651481
5310,1.268001,0.623894
5320,1.258707,0.702572
5330,1.208280,0.695612
5340,1.208358,0.591554
5350,1.195583,0.670258
5360,1.169228,0.678250
5370,1.344582,0.541412
5380,1.226943,0.767760
5390,1.326930,0.723676
5400,1.132369,0.629209
5410,1.157417,0.512875
5420,1.072636,0.556148
5430,1.124658,0.729163
5440,1.276805,0.711295
5450,1.340424,0.702351
5460,1.347765,0.568522
5470,1.224360,0.683583
5480,1.206738,0.737643
5490,1.269317,0.682071
5500,1.243243,0.754336
5510,1.318320,0.819838
5520,1.232533,0.702071
5530,1.177689,0.645679
5540,1.337001,0.702279
5550,1.214261,0.729597
5560,1.241093,0.741117
5570,1.137341,0.634765
5580,1.149661,0.545259
5590,1.240528,0.727556
5600,1.232380,0.889249
5610,1.237653,0.760657
5620,1.297842,0.639812
5630,1.225969,0.696596
5640,1.182141,0.589827
5650,1.277765,0.625122
5660,1.428246,0.527875
5670,1.224160,0.652243
5680,1.232459,0.489941
5690,1.130051,0.805386
5700,1.151505,0.734199
5710,1.307788,0.654023
5720,1.288805,0.800405
5730,1.335549,0.745114
5740,1.193543,0.747888
5750,1.201895,0.523124
5760,1.159737,0.673078
5770,1.294120,0.560656
5780,1.292622,0.820139
5790,1.280334,0.742353
5800,1.198910,0.733517
5810,1.181782,0.691564
5820,1.115360,0.701171
5830,1.218356,0.723194
5840,1.249336,0.746665
5850,1.255458,0.613497
5860,1.214124,0.651631
5870,1.340195,0.528200
5880,1.252409,0.570202
5890,1.244370,0.622072
5900,1.238648,0.465540
5910,1.262377,0.592158
5920,1.208007,0.532619
5930,1.168005,0.525093
5940,1.262564,0.752191
5950,1.346649,0.621956
5960,1.178938,0.589354
5970,1.261080,0.693672
5980,1.301802,0.801322
5990,1.292822,0.737493
6000,1.337240,0.790483
6010,1.362125,0.517457
6020,1.217633,0.590762
6030,1.030033,0.670857
6040,1.253833,0.721792
6050,1.239033,0.507713
6060,1.218786,0.679216
6070,1.159687,0.589917
6080,1.341761,0.463143
6090,1.273202,0.527167
6100,1.233388,0.540611
6110,1.191855,0.494970
6120,1.172197,0.747018
6130,1.150149,0.755180
6140,1.143787,0.688352
6150,1.328111,0.590504
6160,1.182893,0.634637
6170,1.113272,0.513149
6180,1.079391,0.527545
6190,1.223675,0.683828
6200,1.223294,0.674382
6210,1.290236,0.734855
6220,1.341660,0.813352
6230,1.310264,0.578176
6240,1.322227,0.600384
6250,1.301248,0.542019
6260,1.245291,0.780034
6270,1.231160,0.805220
6280,1.292580,0.744404
6290,1.251482,0.445784
6300,1.187889,0.544604
6310,1.258741,0.674676
6320,1.327727,0.682992
6330,1.101230,0.612452
6340,1.277387,0.582356
6350,1.089686,0.447494
6360,1.285580,0.385126
6370,1.306437,0.694124
6380,1.280586,0.825667
6390,1.153776,0.491068
6400,1.194008,0.575604
6410,1.166320,0.707029
6420,1.108938,0.631423
6430,1.254158,0.744299
6440,1.182146,0.611121
6450,1.185781,0.637214
6460,1.222838,0.621012
6470,1.270981,0.751476
6480,1.207427,0.520701
6490,1.248928,0.738437
6500,1.237567,0.509095
